OrderID	LocationID	OrderNumber	StatusID	DatePaid	DateCreated	PrePaid	Tax
136049325	30234	100136049325	2	2015-05-09	2015-04-08	0	0.0
136115938	30234	100136115938	2	2015-04-21	2015-04-08	0	0.0
136179092	30234	100136179092	2	2015-05-11	2015-04-08	0	0.46
136254038	30234	100136254038	2	2015-05-15	2015-04-09	-41.46	0.46
136255156	30234	100136255156	2	2015-06-17	2015-04-09	0	0.0
136701252	30234	100136701252	2	2015-04-30	2015-04-11	0	0.0
136815016	30234	100136815016	2	2015-05-01	2015-04-12	-15.0	0.0
136866285	30234	100136866285	2	2015-04-27	2015-04-12	0	0.0
136866434	30234	100136866434	2	2015-04-17	2015-04-12	0	0.0
136951944	30234	100136951944	2	2015-05-09	2015-04-13	-90.0	0.0
137030327	30234	100137030327	2	2015-05-04	2015-04-13	0	0.0
137092649	30234	100137092649	2	2015-04-21	2015-04-14	0	0.0
137127685	30234	100137127685	2	2015-05-24	2015-04-14	0	0.0
137129098	30234	100137129098	2	2015-05-12	2015-04-14	-35.0	0.0
137245090	30234	100137245090	2	2015-05-01	2015-04-14	-25.0	0.0
137245215	30234	100137245215	2	2015-05-03	2015-04-14	0	0.0
137397824	30234	100137397824	2	2015-05-01	2015-04-15	-77.0	0.5
137452013	30234	100137452013	2	2015-05-01	2015-04-15	0	2.87
137458186	30234	100137458186	2	2015-05-01	2015-04-15	0	0.0
137525599	30234	100137525599	2	2015-05-05	2015-04-16	0	0.0
137676872	30234	100137676872	2	2015-05-08	2015-04-16	0	0.99
137731649	30234	100137731649	2	2015-05-01	2015-04-17	0	0.0
138134944	30234	100138134944	2	2015-05-02	2015-04-19	0	0.0
138225566	30234	100138225566	2	2015-04-29	2015-04-20	0	0.0
138247641	30234	100138247641	2	2015-05-23	2015-04-20	0	0.0
138248191	30234	100138248191	2	2015-05-27	2015-04-20	0	0.27
138248690	30234	100138248690	2	2015-05-27	2015-04-20	0	0.38
138316128	30234	100138316128	2	2015-05-03	2015-04-20	0	0.0
138317387	30234	100138317387	2	2015-05-10	2015-04-20	-105.0	0.0
138359071	30234	100138359071	2	2015-04-28	2015-04-21	0	0.0
138401867	30234	100138401867	2	2015-05-09	2015-04-21	-20.0	0.0
138468485	30234	100138468485	2	2015-05-08	2015-04-21	-41.46	0.46
138468672	30234	100138468672	2	2015-05-08	2015-04-21	0	0.46
138473359	30234	100138473359	2	2015-05-11	2015-04-21	0	0.0
138497993	30234	100138497993	2	2015-05-03	2015-04-21	0	0.0
138806871	30234	100138806871	2	2015-05-03	2015-04-23	0	0.0
138848761	30234	100138848761	2	2015-04-30	2015-04-23	0	0.27
138849293	30234	100138849293	2	2015-04-30	2015-04-23	0	0.0
138850756	30234	100138850756	2	2015-04-30	2015-04-23	0	0.0
138856652	30234	100138856652	2	2015-04-29	2015-04-23	0	1.53
138921760	30234	100138921760	2	2015-05-01	2015-04-23	-105.0	0.0
138949472	30234	100138949472	2	2015-05-07	2015-04-23	0	0.0
138958606	30234	100138958606	2	2015-05-10	2015-04-23	0	0.0
138959149	30234	100138959149	2	2015-05-10	2015-04-23	-79.15	0.65
139075786	30234	100139075786	2	2015-04-28	2015-04-24	0	0.0
139077159	30234	100139077159	2	2015-05-01	2015-04-24	0	4.25
139085647	30234	100139085647	2	2015-04-29	2015-04-24	0	0.0
139116126	30234	100139116126	2	2015-05-02	2015-04-24	-30.0	0.0
139127626	30234	100139127626	2	2015-05-09	2015-04-24	-35.0	0.0
139139867	30234	100139139867	2	2015-05-02	2015-04-24	0	0.0
139158634	30234	100139158634	2	2015-05-30	2015-04-24	0	0.0
139236980	30234	100139236980	2	2015-05-02	2015-04-25	0	0.0
139264418	30234	100139264418	2	2015-05-08	2015-04-25	-70.0	0.27
139304561	30234	100139304561	2	2015-05-02	2015-04-25	0	1.07
139362237	30234	100139362237	2	2015-04-30	2015-04-26	0	0.0
139401653	30234	100139401653	2	2015-04-29	2015-04-26	0	0.61
139456898	30234	100139456898	2	2015-04-28	2015-04-27	0	0.0
139465404	30234	100139465404	2	2015-04-30	2015-04-27	0	0.23
139465592	30234	100139465592	2	2015-04-30	2015-04-27	0	0.61
139477686	30234	100139477686	2	2015-05-22	2015-04-27	0	0.0
139480333	30234	100139480333	2	2015-05-15	2015-04-27	0	0.92
139489383	30234	100139489383	2	2015-05-02	2015-04-27	0	0.0
139507455	30234	100139507455	2	2015-05-01	2015-04-27	0	1.07
139513993	30234	100139513993	2	2015-06-14	2015-04-27	-300.0	2.3
139522022	30234	100139522022	2	2015-04-30	2015-04-27	0	0.0
139522288	30234	100139522288	2	2015-04-30	2015-04-27	0	0.23
139523161	30234	100139523161	2	2015-05-02	2015-04-27	0	0.0
139530251	30234	100139530251	2	2015-05-08	2015-04-27	0	0.0
139540639	30234	100139540639	2	2015-05-10	2015-04-27	0	0.0
139545523	30234	100139545523	2	2015-05-11	2015-04-27	0	0.0
139563761	30234	100139563761	2	2015-04-27	2015-04-27	0	3.66
139578402	30234	100139578402	2	2015-05-10	2015-04-27	0	0.0
139587804	30234	100139587804	2	2015-05-11	2015-04-27	0	4.2
139590208	30234	100139590208	2	2015-04-28	2015-04-27	0	0.0
139594161	30234	100139594161	2	2015-05-02	2015-04-27	0	0.0
139616786	30234	100139616786	2	2015-05-03	2015-04-28	0	0.0
139669760	30234	100139669760	2	2015-05-27	2015-04-28	-175.0	0.0
139669967	30234	100139669967	2	2015-04-29	2015-04-28	0	0.61
139685622	30234	100139685622	2	2015-05-04	2015-04-28	-45.0	0.0
139688243	30234	100139688243	2	2015-05-02	2015-04-28	0	0.27
139692599	30234	100139692599	2	2015-05-02	2015-04-28	0	0.0
139705077	30234	100139705077	2	2015-05-12	2015-04-28	0	1.49
139723978	30234	100139723978	2	2015-06-01	2015-04-28	0	0.0
139746890	30234	100139746890	2	2015-04-30	2015-04-28	0	1.22
139762220	30234	100139762220	2	2015-05-06	2015-04-28	-35.0	0.0
139762617	30234	100139762617	2	2015-05-13	2015-04-28	-35.0	0.0
139768974	30234	100139768974	2	2015-04-29	2015-04-28	0	0.0
139772051	30234	100139772051	2	2015-04-29	2015-04-28	0	0.0
139782372	30234	100139782372	2	2015-05-01	2015-04-28	0	0.0
139784091	30234	100139784091	2	2015-05-02	2015-04-28	0	0.0
139788151	30234	100139788151	2	2015-04-28	2015-04-28	0	0.0
139788152	30234	100139788152	2	2015-04-28	2015-04-28	0	0.0
139799491	30234	100139799491	2	2015-04-29	2015-04-28	-40.0	0.0
139804216	30234	100139804216	2	2015-04-29	2015-04-28	0	0.0
